,Unnamed: 0,henry_constant,filename,additional,water,units,ads_and_des,other
961,961,64018565400844.79,10.1016j.micromeso.2012.02.034.Isotherm2,,,,,Has a positive value for adsorption at a pressure of 0
1560,1560,3662594690.4305,10.1016j.fluid.2014.08.020.Isotherm3,X,,,,
1190,1190,2593508419.3873825,10.1016j.fluid.2014.08.020.Isotherm2,,,X,,
1191,1191,2485209296.4265237,10.1016j.fluid.2014.08.020.Isotherm1,,,X,,
1847,1847,337758554.3420652,10.1007s11224-012-0120-1.isotherm35,,,,,
1821,1821,152736919.95087025,10.1007s11224-012-0120-1.isotherm36,,,,,
1849,1849,9760917.207792288,10.1007s11224-012-0120-1.isotherm32,,,,,Has a positive value for adsorption at a pressure of 0
1822,1822,9610024.350649446,10.1007s11224-012-0120-1.isotherm34,,,,,Has a positive value for adsorption at a pressure of 0
1848,1848,9362429.511278275,10.1007s11224-012-0120-1.isotherm33,,,,,Has a positive value for adsorption at a pressure of 0
1823,1823,8959582.270408263,10.1007s11224-012-0120-1.isotherm31,,,,,Has a positive value for adsorption at a pressure of 0
1657,1657,6510716.5552967815,10.1021Jp1033273.Isotherm1,X,,,,
1559,1559,6428897.909839577,10.1016j.fluid.2014.08.020.Isotherm4,,,X,,
1800,1800,5914156.04777937,10.1002Aic.11362.Isotherm1,,X,,,
1659,1659,4965489.845573438,10.1021Jp1033273.Isotherm2,,,,,
1661,1661,4650222.619461593,10.1021Jp1033273.Isotherm3,X,,,,
938,938,4226598.666669725,10.1002Aic.11362.Isotherm2,,X,,,
1654,1654,4190418.7203466017,10.1021Jp1033273.Isotherm4,X,,,,
1660,1660,3994781.726824532,10.1021Jp1033273.Isotherm7,,,,,
1653,1653,2581118.333103167,10.1021Jp1033273.Isotherm6,,,,,
1658,1658,2403335.0223413077,10.1021Jp1033273.Isotherm5,X,,,,
1588,1588,1592480.5243085832,10.1021La702466d.Isotherm3,X,,,,
2906,2906,1341419.853117735,10.1021Ja060946u.Isotherm9,,,X,,
2907,2907,735692.4668844073,10.1021Ja060946u.Isotherm10,X,,,,
964,964,643100.0000012903,10.1039c5cc02809d.Isotherm6,,,,,Has a positive value for adsorption at a pressure of 0
162,162,568884.0367200011,10.1021Je800900a.Isotherm7,,,X,,
163,163,535782.9781733573,10.1021Je800900a.Isotherm29,X,,X,,
161,161,456607.2077329166,10.1021Je800900a.Isotherm8,X,,X,,
224,224,338274.9468974559,10.1021Je800900a.Isotherm54,X,,,,
2566,2566,291388.0214108023,10.1021Je800900a.Isotherm64,X,X,,,
3095,3095,273133.0681619903,10.1002anie.201506345.Isotherm6,,X,,X,
2362,2362,228593.1320807729,10.1039C3cc48275h.Isotherm18,,,,,
2567,2567,181172.99233545968,10.1021Je800900a.Isotherm63,,X,,,Has a positive value for adsorption at a pressure of 0
2160,2160,140992.97010690026,10.1021La302537d.Isotherm40,,,X,,
2161,2161,138614.65361997328,10.1021La302537d.Isotherm39,X,X,,,
2366,2366,131738.06129302288,10.1039C3cc48275h.Isotherm21,,,,,There are fewer data points than there are in the literature. It looks like it was polotted incorrectly and plotted as the shape on the Pressure units(P/P_0) and then just pasted onto the scale of pressure units(mbar) which exhibits a different shape
2364,2364,99193.38974247668,10.1039C3cc48275h.Isotherm23,,,,,
1447,1447,94119.52165982037,10.1016S1004-9541(07)60095-0.Isotherm9,,,X,,There is a very apparent mistake in one point that is not present in the original literature.
1620,1620,89112.40514837098,10.1021la010232r.Isotherm6,,,X,,
2908,2908,74805.10936479282,10.1021Ja060946u.Isotherm8,,,X,,
2602,2602,69111.87562907842,10.1016j.micromeso.2012.02.027.isotherm7,,,X,,"Not sure which MOF from literature. Several have similar names with different ending appended, but NIST shows no record. Please check literature."
1614,1614,68677.51490959093,10.1021la010232r.Isotherm2,,,,,
2074,2074,60143.57138368898,10.1021Jp503778m.Isotherm7,,X,,,Some plot points out of line
3100,3100,56018.541490997275,10.1002anie.201506345.Isotherm5,,,,X,
935,935,54038.822207869365,10.1016j.egypro.2009.01.166.Isotherm6,,X,,,
1425,1425,52550.00000000001,10.1252Jcej.37.67.isotherm3,,X,,,
225,225,50328.590259235476,10.1021Je800900a.Isotherm53,,X,,,
1920,1920,50058.95081132941,10.1039c5cc00113g.Isotherm3,,,,,"propanol adsorption, low pressures"
1656,1656,48142.01842554165,10.1021Jp1033273.Isotherm15,,X,,,
2755,2755,43790.16107432026,10.1021Jp805923k.Isotherm1,,X,,,
2231,2231,42916.224720934035,10.1039C2dt31112g.Isotherm10,X,X,,,
2353,2353,41361.53043903637,10.1039C3ce26788a.Isotherm1,X,X,,,
2284,2284,39207.183846572414,10.1016j.ces.2010.10.002.isotherm5,,X,,,
2367,2367,38654.38059242188,10.1039C3cc48275h.Isotherm20,,,,,Some plot points out of line + negative adsorption
1919,1919,38589.40097304745,10.1039c5cc00113g.Isotherm5,,,,,
2603,2603,36587.33682218896,10.1016j.micromeso.2012.02.027.isotherm5,,,,,"Not sure which MOF from literature. Several have similar names with different ending appended, but NIST shows no record. Please check literature. Three step isotherm with first two at low pressures"
1455,1455,34220.68284783716,10.1016S1004-9541(07)60095-0.Isotherm10-1,,,,,
2085,2085,32535.840082353046,10.1021Ct500094w.Isotherm4,,X,,,
1615,1615,32403.747272744404,10.1021la010232r.Isotherm1,,,,,
1663,1663,31586.204897912554,10.1021Jp1033273.Isotherm16,,,,,Plot likely taken from fig. 5 adsorption isotherms for equimolar mixtures of water/ethanol while on a log scale
2230,2230,30318.303634397475,10.1039C4cs00078a.Isotherm3,,,,,
2594,2594,29766.285512607377,10.1039C1cp20502a.Isotherm5,,,,,Cant find the propene adsorption isotherm in the literature. I believe this may be from the propyne isotherm adsorption. 
1613,1613,29551.076158049134,10.1021la010232r.Isotherm3,,,,,
1917,1917,29470.869029317128,10.1039c5cc00113g.Isotherm1,,,,,
2754,2754,28462.606430686446,10.1021Jp805923k.Isotherm2,,X,,,
2086,2086,26933.323071685638,10.1016j.ces.2010.10.002.isotherm6,,X,,,
2607,2607,26872.27067049237,10.1016j.micromeso.2012.02.027.isotherm8,X,,,,
1812,1812,24914.204089337632,10.1016j.cej.2011.07.051.Isotherm3,,,,,
2904,2904,24221.698867237108,10.1021Ja060946u.Isotherm11,,X,,,
1811,1811,22754.356046746117,10.1016j.cej.2011.07.051.Isotherm3-1,,,,,
1427,1427,21686.30872483221,10.1252Jcej.37.67.isotherm4,,,,,
2593,2593,20753.287484535438,10.1039C1cp20502a.Isotherm6,,,,,Low pressures
2084,2084,18531.34825903956,10.1021Ct500094w.Isotherm5,,X,,,
2760,2760,17060.627039857583,10.1021Jp805923k.Isotherm3-1,,,,,"Ethanol, Low pressures"
1916,1916,16522.721092506956,10.1039c5cc00113g.Isotherm2,,,,,"Methanol, Low pressures"
2752,2752,16419.465495041233,10.1021Jp805923k.Isotherm2-2,,X,,,
2185,2185,16067.315442465648,10.1016j.ces.2010.10.002.isotherm7,,X,,,
2568,2568,14874.835329661817,10.1016S0009-2509(00)00531-5.Isotherm8,,X,,,
2081,2081,14784.353617779228,10.1021Ie202325p.Isotherm1,,X,,,
2592,2592,14562.82885627508,10.1039C1cp20502a.Isotherm7,,,,,"cyclopropane adsorption, incorrect pressure scale (c3h6 has vapor pressure of 5.41e03mmHg = ~7.2bar)"
2083,2083,14477.512080287448,10.1021Ct500094w.Isotherm6,,X,,,
1950,1950,14202.245972637584,10.1016j.apenergy.2013.06.041.isotherm9,,,,,
2846,2846,13668.181878646641,10.1016j.fluid.2007.06.030.Isotherm42,,,,,
2847,2847,13668.181878646641,10.1016j.fluid.2007.06.030.Isotherm43,,,,,
2073,2073,13178.1289472977,10.1021Jp503778m.Isotherm8,,,,,
2857,2857,11363.600072733894,10.1016j.fluid.2007.06.030.Isotherm48,,,,,
1982,1982,10951.866769333576,10.1016j.ces.2010.10.002.isotherm8,,,,,
2856,2856,10822.47626683946,10.1016j.fluid.2007.06.030.Isotherm47,,,,,
1690,1690,10815.260015251624,10.1016j.fluid.2007.06.030.Isotherm2,,,,,
2761,2761,9766.590841657602,10.1021Jp805923k.Isotherm3,,,,,
1440,1440,9606.204824887725,10.1016S1004-9541(07)60095-0.Isotherm28,,,,,
940,940,9075.600699379953,10.1021Ja205082p.Isotherm1,,,,,
3055,3055,8595.545052714811,10.1002cssc.201402206.Isotherm13,,,,,
1456,1456,8452.325392922521,10.1016S1004-9541(07)60095-0.Isotherm10,,,,,
2355,2355,8101.027209111321,10.1039C3ce26788a.Isotherm3,,,,,
937,937,7988.520905936374,10.1002bkcs.10087.Isotherm2,,,,,
1430,1430,7881.967976344137,10.1016j.apsusc.2009.12.120.Isotherm1,,,,,
914,914,7879.327805990344,10.1021Jp806363w.isotherm3,,,,,
2757,2757,7737.33452305738,10.1021Jp805923k.Isotherm4-1,,,,,
1914,1914,6290.19816477521,10.1039c5cc00113g.Isotherm4,,,,,
2925,2925,6142.93906088385,10.1021Cm9014749.Isotherm7,,,,,
1689,1689,6134.3146453317895,10.1016j.fluid.2007.06.030.Isotherm2-1,,,,,
911,911,5998.923677970358,10.1021La102359q.Isotherm8,,,,,
1687,1687,5947.927430303022,10.1016j.fluid.2007.06.030.Isotherm57,,,,,
1442,1442,5743.2877917113265,10.1016S1004-9541(07)60095-0.Isotherm22,,,,,
1411,1411,5367.939869632479,10.1039C4cc04945d.Isotherm2,,,,,
