,CURLTUGMZLYLDI-UHFFFAOYSA-N_298K,IJGRMHOSHXDMSA-UHFFFAOYSA-N_298K,VNWKTOKETHGBQD-UHFFFAOYSA-N_298K,MYMOFIZGZYHOMD-UHFFFAOYSA-N_298K,QQONPFPTGQHPMA-UHFFFAOYSA-N_298K,ATUOYWHBWRKTHZ-UHFFFAOYSA-N_298K,HSFWRNGVRCDJHI-UHFFFAOYSA-N_298K,UFHFLCQGNIYNRP-UHFFFAOYSA-N_298K,FHNFHKCVQCLJFQ-UHFFFAOYSA-N_298K,DNNSSWSSYDEUBZ-UHFFFAOYSA-N_298K,MWUXSHHQAYIFBG-UHFFFAOYSA-N_298K,XLYOFNOQVPJJNP-UHFFFAOYSA-N_298K,VLKZOEOYAKHREP-UHFFFAOYSA-N_298K,OKKJLVBELUTLKV-UHFFFAOYSA-N_298K,LFQSCWFLJHTTHZ-UHFFFAOYSA-N_298K,UGFAIRIUMAVXCW-UHFFFAOYSA-N_298K,XDTMQSROBMDMFD-UHFFFAOYSA-N_298K,UHOVQNZJYSORNB-UHFFFAOYSA-N_298K,XKRFYHLGVUSROY-UHFFFAOYSA-N_298K,OTMSDBZUPAUEDD-UHFFFAOYSA-N_298K,VGGSQFUCUMXWEO-UHFFFAOYSA-N_298K,QGZKDVFQNNGYKY-UHFFFAOYSA-N_298K,CSCPPACGZOOCGX-UHFFFAOYSA-N_298K,IJDNQMDRQITEOD-UHFFFAOYSA-N_298K,NNPPMTNAJDCUHE-UHFFFAOYSA-N_298K,KFZMGEQAYNKOFK-UHFFFAOYSA-N_298K,BDERNNFJNOPAEC-UHFFFAOYSA-N_298K,YXFVVABEGXRONW-UHFFFAOYSA-N_298K,OFBQJSOFQDEBGM-UHFFFAOYSA-N_298K,URLKBWYHVLBVBO-UHFFFAOYSA-N_298K,RAHZWNYVWXNFOC-UHFFFAOYSA-N_298K
NIST-MATDB-b2dc02871a66ac38e4b195796cf3e00b,0.6235018059890372,0.09366937546554226,0.2521593329852647,,12.491789376396811,14.853233512500768,0.0015064637697365575,0.03535806543460385,,,,2.2132304400282274,,1.1752785483040817,,0.11997002715617533,,,,2.259475965368911,1.3701766553718908,0.2279385708267645,,,,,,,,185.39188845308837,14.544057220504264
NIST-MATDB-035dc75dddd00241bd76627f78cbef2d,4.122280379977741,0.6133392979754896,0.8725270444635959,0.10636842072107974,52.095266272189356,28.917304189435338,,,,,,,,,,1.0508277653896008,,,,0.649370089814945,3.1194912232697365,55.67547930916395,,73.78011748437692,,,,,,,
NIST-MATDB-453276ee992ed07dc207ed08b2b221ce,1.8413910317842714,0.3390479555787281,0.41906675547661343,0.18816112226541978,,,,0.04844134578248163,,,,1.7318094179233632,1.3331548703934175,563.661734735566,,0.4570231056480473,,,,3.7233326560892035,37.05538374035761,1.4094536334620305,1.9626973895949094,,,,,,,,
NIST-MATDB-1b85b1862d4e9cc2e0f46d0e2698ab79,2.351403391694055,0.24077359497466688,0.6944064755408529,0.012683198516053774,,,,,,,,,,,,0.16822958628474804,,,,,,208.3197012173077,,,,,,,,2550.136880763233,
NIST-MATDB-991daf7313251e7e607e2bab2da57e33,4.299263937507667,0.27162155034875596,0.663380281690141,0.2812262969958008,338.9061065094951,1.4354429815580274,86.77465759200412,0.03478132807038448,,,14.709561458064648,1994.0599206298893,418.2528294517699,,1421.5223849410527,1.0555346120786888,,25.662014439146912,0.25082012345241683,0.40653120166410117,33.85608933122815,362.45688403378585,,0.23295718902245588,424.1585659937303,,,,,,21.673068206390663
NIST-MATDB-acbbe796d49416e999dc819f2ae65fe9,3.0402781018151277,,14.129263708050614,,,,55.91815971670542,0.0783938133808888,1.6248748769900736,0.8970249256972599,,,,,,,,,,,,,,,,,,,,,48.762227285366265
NIST-MATDB-2c9380bddc59f547484ff729eab7d7cb,1.026245853531538,0.16199587622842482,0.33158085633665096,,,0.14072649388445252,1.1566739465803118,0.03545102724115893,2.7044630478831184,0.82692758878106,0.171597735029446,0.18971692391325498,,,,0.18903068927236283,,13.312810519551972,0.16429101490884881,0.09474774016343955,,53.57817231295059,,,,,,,,,1.6958283107651653
NIST-MATDB-5ab0dbe0639729711750ef4b97715f0f,2.691465883907319,0.2531649637924453,0.6952291801945082,0.12731111789681243,,,,0.018975313246680475,,,,1059.3810251667853,8.734858198212375,,,0.23409344845622454,,8.54767311788497,,,,,,,,,,,,,
NIST-MATDB-0d52b4312e8dd98a53fcfaba14cd0e82,,,,,126.24057174168074,78.70349128713916,,0.01581140574867369,,,,33.32341328743342,,,,,,,,,,,,11.385447219949718,,,,,,,
NIST-MATDB-1e130146cc6d11f05471f1e054d640c8,3.4604522434345593,,0.3153532608695652,,,,,0.701515499821081,,4.7707715582450835e-08,,,,,,,,,,14.435889371017527,,,,,,,,,,,
NIST-MATDB-b848f05ba9fb26cdd50755863b377c56,3.2369782797570075,0.4417256871794786,0.9356561914306893,,,,,0.008474950509366946,,,,1.2364464899364225,,,,0.2585778608917988,,,,,,,,,,,,,,,31.687479508792023
NIST-MATDB-7cb7f2ebc677a987561f61f34f01f965,2.164054265082703,0.2539232052354898,0.4708097928436912,0.19293187270627138,,0.049114014628536824,,,,,,12.793422859472512,,103.53536405964107,231.9802143783598,,,,0.21187144903533556,0.012178419916515155,,,,0.07206951849808993,,,,,,,
