,CURLTUGMZLYLDI-UHFFFAOYSA-N_298K,IJGRMHOSHXDMSA-UHFFFAOYSA-N_298K,VNWKTOKETHGBQD-UHFFFAOYSA-N_298K,MYMOFIZGZYHOMD-UHFFFAOYSA-N_298K,QQONPFPTGQHPMA-UHFFFAOYSA-N_298K,ATUOYWHBWRKTHZ-UHFFFAOYSA-N_298K,HSFWRNGVRCDJHI-UHFFFAOYSA-N_298K,UFHFLCQGNIYNRP-UHFFFAOYSA-N_298K,FHNFHKCVQCLJFQ-UHFFFAOYSA-N_298K,DNNSSWSSYDEUBZ-UHFFFAOYSA-N_298K,MWUXSHHQAYIFBG-UHFFFAOYSA-N_298K,XLYOFNOQVPJJNP-UHFFFAOYSA-N_298K,VLKZOEOYAKHREP-UHFFFAOYSA-N_298K,OKKJLVBELUTLKV-UHFFFAOYSA-N_298K,LFQSCWFLJHTTHZ-UHFFFAOYSA-N_298K,SFZCNBIFKDRMGX-UHFFFAOYSA-N_298K,UGFAIRIUMAVXCW-UHFFFAOYSA-N_298K,XDTMQSROBMDMFD-UHFFFAOYSA-N_298K,UHOVQNZJYSORNB-UHFFFAOYSA-N_298K,XKRFYHLGVUSROY-UHFFFAOYSA-N_298K,OTMSDBZUPAUEDD-UHFFFAOYSA-N_298K,VGGSQFUCUMXWEO-UHFFFAOYSA-N_298K,QGZKDVFQNNGYKY-UHFFFAOYSA-N_298K,IJDNQMDRQITEOD-UHFFFAOYSA-N_298K,KFZMGEQAYNKOFK-UHFFFAOYSA-N_298K,BDERNNFJNOPAEC-UHFFFAOYSA-N_298K,YXFVVABEGXRONW-UHFFFAOYSA-N_298K,OFBQJSOFQDEBGM-UHFFFAOYSA-N_298K,RAHZWNYVWXNFOC-UHFFFAOYSA-N_298K
NIST-MATDB-b2dc02871a66ac38e4b195796cf3e00b,0.819171698992534,0.14493935453702889,0.3203860014770396,,24.205547892866445,37.27183054001421,,0.03748853704434235,,,,0.09272321431770943,,3.2189213482519743,,,0.12322912641383663,,,,2.4652792094840144,1.4854428764141012,,,,,,,70.66631999800833
NIST-MATDB-035dc75dddd00241bd76627f78cbef2d,68.28154891993952,0.539599813873608,0.8942579363936227,0.11863577130406024,245.5599590610971,98.47500248159088,,,,,,49732.11292555065,,,,,1.510697051587585,,,,8.379068794595629,5.183518287040733,273.82723306130185,238.26814027712152,,,,,
NIST-MATDB-453276ee992ed07dc207ed08b2b221ce,2.3533663287464535,0.32767709575549353,0.506283713469287,0.20658073629274012,,,,0.05255246623067211,11.828043395051727,2.611846683167779,,,1103.390933570668,854.0087373155834,,,0.454703825471176,,,,4.054337491225239,25.54511843295715,1.4738670165225944,,,,,,
NIST-MATDB-1b85b1862d4e9cc2e0f46d0e2698ab79,1.745663738865751,0.2514138651073169,0.7758546018968082,0.20577675229073691,,,,,,,,,,,,,0.2946069128711586,,,,,,497.5286762941853,,,,,,
NIST-MATDB-991daf7313251e7e607e2bab2da57e33,5.337170921874724,0.31286334292115403,0.8912863282979061,0.3251034577464641,561.7768976469117,156.99407200079747,53.40867603905034,0.04450969579260505,5.584649644476632,,13.257866283231653,4006.934807578404,5057.372865840672,2983.471510316469,10925.254454411046,,1.0078668277783842,,719.0289618579449,0.2902058245420609,13.412197512108758,53.218748822395355,538.1772427934392,266.24106921942644,,,,21520.194021118896,50.56725096364322
NIST-MATDB-acbbe796d49416e999dc819f2ae65fe9,5.390284031787629,,1.5311220985371499,,,,30.263327660693257,0.08057026249707669,2.6889563711031217,1.1996335671871325,,,,,,,,,,,,,,,,,,,275.30989302218023
NIST-MATDB-2c9380bddc59f547484ff729eab7d7cb,1.5666689918161647,77.28363966598444,0.4337666542641447,,,,,0.03882019078315514,0.9150692805387968,0.49799840944095003,0.17543539270064462,0.7675188138853847,,,,,0.24085039867846383,,347.0656850373111,0.19442222005614504,6.5558477616342765,,93.59912643978684,,,,,,16.21437617644813
NIST-MATDB-5ab0dbe0639729711750ef4b97715f0f,2.5372589077950893,0.2107005288916597,0.5949884697989125,0.1414365505538564,,,,7.123488269919226,,,,748.9649695433759,33.32796078347141,,,,0.24834721906521795,,23.035261871116926,,,,,,,,,,
NIST-MATDB-9ee35322ac5ddba224d845a03c651b29,338.9783323599234,,1.072149945030522,,,,,0.029000470868895824,,,,59005.30688644037,,,43623.49275027079,,,,,,,,,,,,,,
NIST-MATDB-1e130146cc6d11f05471f1e054d640c8,110.59192726180345,,0.2675910087367928,,,426.0009466631884,,0.6497723821129796,,,,,,,,38.70596857907231,,,,,21.601772211640665,,,,,,,,
