,CURLTUGMZLYLDI-UHFFFAOYSA-N_298K,IJGRMHOSHXDMSA-UHFFFAOYSA-N_298K,VNWKTOKETHGBQD-UHFFFAOYSA-N_298K,MYMOFIZGZYHOMD-UHFFFAOYSA-N_298K,QQONPFPTGQHPMA-UHFFFAOYSA-N_298K,ATUOYWHBWRKTHZ-UHFFFAOYSA-N_298K,HSFWRNGVRCDJHI-UHFFFAOYSA-N_298K,UFHFLCQGNIYNRP-UHFFFAOYSA-N_298K,FHNFHKCVQCLJFQ-UHFFFAOYSA-N_298K,DNNSSWSSYDEUBZ-UHFFFAOYSA-N_298K,MWUXSHHQAYIFBG-UHFFFAOYSA-N_298K,XLYOFNOQVPJJNP-UHFFFAOYSA-N_298K,VLKZOEOYAKHREP-UHFFFAOYSA-N_298K,OKKJLVBELUTLKV-UHFFFAOYSA-N_298K,LFQSCWFLJHTTHZ-UHFFFAOYSA-N_298K,SFZCNBIFKDRMGX-UHFFFAOYSA-N_298K,UGFAIRIUMAVXCW-UHFFFAOYSA-N_298K,XDTMQSROBMDMFD-UHFFFAOYSA-N_298K,UHOVQNZJYSORNB-UHFFFAOYSA-N_298K,XKRFYHLGVUSROY-UHFFFAOYSA-N_298K,OTMSDBZUPAUEDD-UHFFFAOYSA-N_298K,VGGSQFUCUMXWEO-UHFFFAOYSA-N_298K,QGZKDVFQNNGYKY-UHFFFAOYSA-N_298K,CSCPPACGZOOCGX-UHFFFAOYSA-N_298K,IJDNQMDRQITEOD-UHFFFAOYSA-N_298K,NNPPMTNAJDCUHE-UHFFFAOYSA-N_298K,KFZMGEQAYNKOFK-UHFFFAOYSA-N_298K,BDERNNFJNOPAEC-UHFFFAOYSA-N_298K,WEVYAHXRMPXWCK-UHFFFAOYSA-N_298K,YXFVVABEGXRONW-UHFFFAOYSA-N_298K,OFBQJSOFQDEBGM-UHFFFAOYSA-N_298K,URLKBWYHVLBVBO-UHFFFAOYSA-N_298K,RAHZWNYVWXNFOC-UHFFFAOYSA-N_298K,SWQJXJOGLNCZEY-UHFFFAOYSA-N_298K,VXNZUUAINFGPBY-UHFFFAOYSA-N_298K
NIST-MATDB-b2dc02871a66ac38e4b195796cf3e00b,0.819171698992534,0.09982792422654221,0.3194056603812207,,24.205547892866445,37.27183054001421,0.0015064812756983173,0.03684328108178238,,,,17.686146681788703,,3.2189213482519743,,,0.12322912641383663,,,,2.7820761910584317,1.4854428764141012,1.077099064692271,,,,,,,,,200.460054054642,22.948322899450403,,
NIST-MATDB-035dc75dddd00241bd76627f78cbef2d,110.21556515335344,0.539599813873608,0.8934989187748433,0.11863577130406024,245.5599590610971,229.94482041953597,,,,,,92469.83882111502,,,,,1.4967011978437206,,,,9.77290913653286,5.1281438885058055,613.8079304672401,,449.6166418115513,,,,,,,,,0.0005924665828846056,177.5266038486335
NIST-MATDB-453276ee992ed07dc207ed08b2b221ce,2.307320975166026,0.32760585472644377,0.506283713469287,0.20658073629274012,,,,0.057584408351279794,11.828043395051727,2.611846683167779,,9.082335074670477,1103.390933570668,854.550084361815,,,0.46149752164870134,,,,4.063815059205973,25.54511843295715,1.4738670165225944,1042.2074841364413,,,,,,,,,,,
NIST-MATDB-1b85b1862d4e9cc2e0f46d0e2698ab79,1.5788939684509717,0.22536303129463026,0.7397590919204192,0.16014775606721735,,,,,,,,,,,,,0.3051216140432336,,,,,,352.1635251198298,,,,,,,,,5929.945012643009,,,
NIST-MATDB-991daf7313251e7e607e2bab2da57e33,5.173700846039106,0.3087721909285186,0.8167283966349513,0.28993905155485494,622.8964517902384,64.16696861175834,53.40867603905034,0.04389757286502782,5.584649644476632,,13.257866283231653,3109.1326202348896,4723.561577086609,2877.019571218638,6200.354596472378,,0.9446689113660929,,390.208277122954,0.2902046147318599,0.8382122048085789,40.686059537234954,480.5859140137168,5011.438233481606,0.9048252152015885,1355.2137787757556,,,,,19931.415894350503,,50.78095557857099,,
NIST-MATDB-acbbe796d49416e999dc819f2ae65fe9,5.390284031787629,,1.5311220985371499,,,,30.243899589076904,0.08057026249707669,2.6889563711031217,1.1966202307983898,,,,,,,,,,,,,,,,,,,,,,,258.6248889813385,,
NIST-MATDB-2c9380bddc59f547484ff729eab7d7cb,1.6314985005476526,0.21742875798767497,0.42834945423692594,,,0.9080588108277686,1.1566750202941738,0.03790345192497375,0.9150692805387968,0.49799840944095003,0.17543539270064462,1.509526503360944,,,,,0.2354742105014107,,172.46409817136012,0.19442222005614504,1.2235631130816724,,93.59912643978684,,,,,,,,,,16.216455983342094,,
NIST-MATDB-5ab0dbe0639729711750ef4b97715f0f,2.7356955957783673,0.2107005288916597,0.5949884697989125,0.1414365505538564,,,,0.02397284335182187,,,,1440.2895271381176,33.32796078347141,,,,0.24834721906521795,,23.035261871116926,,,,,,,,,,,,,,,,
NIST-MATDB-9ee35322ac5ddba224d845a03c651b29,311.92701683966646,,1.072149945030522,,,,,0.02900074648985205,,,,12017.934532679312,,,67221.71804097392,,,,,,,,,,,,,,,,,,,,
NIST-MATDB-0d52b4312e8dd98a53fcfaba14cd0e82,,,,,143.51858183719978,215.57704106790132,,0.055946587964198956,,,,33.32343438519818,,,,,,,,,,,,,231.68551238429802,,,,,,,,,,64.99452415279964
NIST-MATDB-1e130146cc6d11f05471f1e054d640c8,110.59192726180345,,0.2675910087367928,,,374.2696727100019,,0.6497723821129796,,2.568907923316941e-07,,,,,,38.646524449805554,,,,,21.57827838483206,,,,,,,,,,,,,,
NIST-MATDB-b848f05ba9fb26cdd50755863b377c56,3.644741033652947,0.522101862649372,1.1470690195162472,,,,,0.02178274213935591,,,,1.6209987043347607,,,,,0.27683782572273474,,,,,,,,,,,,,,,,60.7777211289658,,
