,CURLTUGMZLYLDI-UHFFFAOYSA-N_298K,IJGRMHOSHXDMSA-UHFFFAOYSA-N_298K,VNWKTOKETHGBQD-UHFFFAOYSA-N_298K,MYMOFIZGZYHOMD-UHFFFAOYSA-N_298K,QQONPFPTGQHPMA-UHFFFAOYSA-N_298K,ATUOYWHBWRKTHZ-UHFFFAOYSA-N_298K,HSFWRNGVRCDJHI-UHFFFAOYSA-N_298K,UFHFLCQGNIYNRP-UHFFFAOYSA-N_298K,OTMSDBZUPAUEDD-UHFFFAOYSA-N_298K,VGGSQFUCUMXWEO-UHFFFAOYSA-N_298K,XLYOFNOQVPJJNP-UHFFFAOYSA-N_298K,FHNFHKCVQCLJFQ-UHFFFAOYSA-N_298K,DNNSSWSSYDEUBZ-UHFFFAOYSA-N_298K,MWUXSHHQAYIFBG-UHFFFAOYSA-N_298K,VLKZOEOYAKHREP-UHFFFAOYSA-N_298K,OKKJLVBELUTLKV-UHFFFAOYSA-N_298K,LFQSCWFLJHTTHZ-UHFFFAOYSA-N_298K,SFZCNBIFKDRMGX-UHFFFAOYSA-N_298K,UGFAIRIUMAVXCW-UHFFFAOYSA-N_298K,XDTMQSROBMDMFD-UHFFFAOYSA-N_298K,UHOVQNZJYSORNB-UHFFFAOYSA-N_298K,TXEYQDLBPFQVAA-UHFFFAOYSA-N_298K,XKRFYHLGVUSROY-UHFFFAOYSA-N_298K,ZWEHNKRNPOVVGH-UHFFFAOYSA-N_298K,LELOWRISYMNNSU-UHFFFAOYSA-N_298K,QGZKDVFQNNGYKY-UHFFFAOYSA-N_298K,JCXJVPUVTGWSNB-UHFFFAOYSA-N_298K,CSCPPACGZOOCGX-UHFFFAOYSA-N_298K,IJDNQMDRQITEOD-UHFFFAOYSA-N_298K,NNPPMTNAJDCUHE-UHFFFAOYSA-N_298K,HEDRZPFGACZZDS-UHFFFAOYSA-N_298K,KFZMGEQAYNKOFK-UHFFFAOYSA-N_298K,BDERNNFJNOPAEC-UHFFFAOYSA-N_298K,VEXZGXHMUGYJMC-UHFFFAOYSA-N_298K,WEVYAHXRMPXWCK-UHFFFAOYSA-N_298K,YXFVVABEGXRONW-UHFFFAOYSA-N_298K,RWSOTUBLDIXVET-UHFFFAOYSA-N_298K,VZGDMQKNWNREIO-UHFFFAOYSA-N_298K,TVMXDCGIABBOFY-UHFFFAOYSA-N_298K,IMNFDUFMRHMDMM-UHFFFAOYSA-N_298K,OFBQJSOFQDEBGM-UHFFFAOYSA-N_298K,LRHPLDYGYMQRHN-UHFFFAOYSA-N_298K,IVSZLXZYQVIEFR-UHFFFAOYSA-N_298K,URLKBWYHVLBVBO-UHFFFAOYSA-N_298K,RAHZWNYVWXNFOC-UHFFFAOYSA-N_298K,SWQJXJOGLNCZEY-UHFFFAOYSA-N_298K,BZLVMXJERCGZMT-UHFFFAOYSA-N_298K,GQPLMRYTRLFLPF-UHFFFAOYSA-N_298K,XSTXAVWGXDQKEL-UHFFFAOYSA-N_298K,VXNZUUAINFGPBY-UHFFFAOYSA-N_298K,YTPLMLYBLZKORZ-UHFFFAOYSA-N_298K,QSHDDOUJBYECFT-UHFFFAOYSA-N_298K,WSFSSNUMVMOOMR-UHFFFAOYSA-N_298K,QWTDNUCVQCZILF-UHFFFAOYSA-N_298K
NIST-MATDB-b2dc02871a66ac38e4b195796cf3e00b,0.8191723054366116,0.1449041184024509,0.31940563272117994,,24.205552528254362,39.94943333825374,0.0015064810518102586,0.03622760147156922,2.35581212896323,1.524489333520541,0.6283071403470153,,,,,3.218940085638354,,,0.12322912723284343,,,,,,,1.0770907795013434,,,,,,,,,,,,,443.4437417399783,,,,,200.46006859561967,22.948549912692616,,,,,,,,,
NIST-MATDB-035dc75dddd00241bd76627f78cbef2d,89.66731353133451,0.5395998031301603,0.8934989870552532,0.11863577085367825,245.56009593976015,229.94318079106577,,,8.079139083457873,5.1281414972998425,132545.9868881572,,,,,,,,1.4967011294828862,,,,,,,1113.6985631393873,,,449.6186777220157,,,,,,,,,,,,,,,,,0.0005924660781788216,,107.20783575547377,,177.5266594241363,,,,
NIST-MATDB-453276ee992ed07dc207ed08b2b221ce,2.3073212741442752,0.32760586616724163,0.5062787745787094,0.20658077073160275,,,,0.057261297256705077,4.0638164265654995,25.545439829832212,21.564878022514606,11.828042642292937,2.6118471188007097,,1103.3868183065208,854.5499131715262,,,0.4614977424967996,,,,1.1948767362319261,1022.3167855100662,5.085849510339055,1.47386700890088,,1042.2069824271116,,,,,,,,,10.01566764438938,,,,,,,,,,,,,,,,,
NIST-MATDB-1b85b1862d4e9cc2e0f46d0e2698ab79,1.499942367695381,0.22536303351140907,0.7604173368280503,0.18296011752124425,,,,,,,,,,,,,,,0.30512161797259096,,,,,,,352.1620617441967,,,,,,,,,,,,,,,,,6280.535469478746,5929.9473983287135,,,,,,,,,,
NIST-MATDB-991daf7313251e7e607e2bab2da57e33,5.173708294005175,0.31980652004513066,0.8639228741617513,0.33044257262207966,672.7453391041025,152.87732502125218,53.408752059684325,0.045899421131280954,0.838235724820496,53.21875919301765,3538.2262859739308,5.584651998633968,,13.257863482446,4723.570601468684,2877.014621498403,6200.118107179734,,0.9873556132471782,,519.4378269683439,1.4627719718791572,0.29020466811630663,,,1552.271583819951,,5011.403127385231,2.9391280970285476,1324.6341075891828,465.03518682112883,,,,,,,46920.651698397734,,,20578.763160329145,,,,50.78097166705237,,,,,,230.40361878656418,,,
NIST-MATDB-6dace77b3b8fb4e96269941e6971a912,1.2132689171492768,,0.4893644609046339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIST-MATDB-1aa4de6e9b58cd21cd479010283694b5,1.0155142344932755,,0.38152100739135,,,,4.109758855372744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIST-MATDB-9f02824618e94d86caedc9fb497366ba,0.2078304680831388,,,,,,7.254404235927102,0.027958604805380073,,,,,,,,,,,,,,,,,,,,,153.55681758974285,,,,,,,,,,,,,,,,,,,,,,,,,
NIST-MATDB-acbbe796d49416e999dc819f2ae65fe9,5.390283964500921,,1.531123812515817,,,,30.243870371038163,0.08057026194632409,,,,2.6889546291088053,1.19662018817428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.62512750818286,,,,,,,,,
NIST-MATDB-7960377b00805e517b0a1208187d4b37,2.870196545259148,,0.6386783764251097,,,,,0.03988267727490332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIST-MATDB-2c9380bddc59f547484ff729eab7d7cb,1.659815252478762,0.2174287590333894,0.4344132905035521,,,,1.2865644964245344,0.03815868624454113,6.5558450261518315,,0.7675188373979722,0.9150697326072624,0.49799839591409645,0.17543539033384606,,,,,0.23547421029199658,,54.5300386956827,,0.19442222052044297,,,93.59912913731313,0.6159004512207306,,,,,,,,,,,,,,,,,,0.7359383047189118,,,2.0532002320139346,,,177.74527054347308,,,
NIST-MATDB-ae6259bb1e493730cebe104ab746bb64,,,130.98265849618147,,,,,,2620.6853972581184,5488.8267188058735,,,,,,,,,,,,,,,,676.8729998982525,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIST-MATDB-8599871cd17b08ae7919e1260a35e914,6.079440175945648,1.311874945571271,2.6574514981364254,,,,,0.4523598024546747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIST-MATDB-7c81afbf8f12d8eea290644848d46385,6.017635886604425,1.0743829097057125,1.4405512358340677,,,,,0.215936369926398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIST-MATDB-99ef80e5d83870b3d92d1e7cc0055c90,5.484006598898217,1.069195892537851,2.2093349359924597,,,,,0.5163629735825402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIST-MATDB-2505eaefa7cfdd83ff021d29f553b474,3.649651134677396,0.6953346882136262,1.1849533353149118,,,,,0.23987957859231016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIST-MATDB-711a5d86d8c3d6b2444cbc4cc6215ce0,7.0611905661586025,0.41613378241737875,,0.41876836701816933,,,,,,,271.5234588548948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIST-MATDB-dd54d7cacde7ac48a6f3c53b525617d7,7.81915308007291,0.5250954802772372,,0.4738912598174654,,,,,,,364.2241187152481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIST-MATDB-99b2d1b315d9bd0b70972c5b0da4b675,,0.2476189486322375,,,,,,,,,,18.28652819072887,2.0010218769592485,,,543.6510005802409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
