,CURLTUGMZLYLDI-UHFFFAOYSA-N_298K,IJGRMHOSHXDMSA-UHFFFAOYSA-N_298K,VNWKTOKETHGBQD-UHFFFAOYSA-N_298K,MYMOFIZGZYHOMD-UHFFFAOYSA-N_298K,QQONPFPTGQHPMA-UHFFFAOYSA-N_298K,ATUOYWHBWRKTHZ-UHFFFAOYSA-N_298K,HSFWRNGVRCDJHI-UHFFFAOYSA-N_298K,UFHFLCQGNIYNRP-UHFFFAOYSA-N_298K,FHNFHKCVQCLJFQ-UHFFFAOYSA-N_298K,DNNSSWSSYDEUBZ-UHFFFAOYSA-N_298K,MWUXSHHQAYIFBG-UHFFFAOYSA-N_298K,XLYOFNOQVPJJNP-UHFFFAOYSA-N_298K,VLKZOEOYAKHREP-UHFFFAOYSA-N_298K,OKKJLVBELUTLKV-UHFFFAOYSA-N_298K,LFQSCWFLJHTTHZ-UHFFFAOYSA-N_298K,SFZCNBIFKDRMGX-UHFFFAOYSA-N_298K,UGFAIRIUMAVXCW-UHFFFAOYSA-N_298K,XDTMQSROBMDMFD-UHFFFAOYSA-N_298K,UHOVQNZJYSORNB-UHFFFAOYSA-N_298K,XKRFYHLGVUSROY-UHFFFAOYSA-N_298K,OTMSDBZUPAUEDD-UHFFFAOYSA-N_298K,VGGSQFUCUMXWEO-UHFFFAOYSA-N_298K,QGZKDVFQNNGYKY-UHFFFAOYSA-N_298K,JCXJVPUVTGWSNB-UHFFFAOYSA-N_298K,CSCPPACGZOOCGX-UHFFFAOYSA-N_298K,IJDNQMDRQITEOD-UHFFFAOYSA-N_298K,NNPPMTNAJDCUHE-UHFFFAOYSA-N_298K,KFZMGEQAYNKOFK-UHFFFAOYSA-N_298K,BDERNNFJNOPAEC-UHFFFAOYSA-N_298K,YXFVVABEGXRONW-UHFFFAOYSA-N_298K,RWSOTUBLDIXVET-UHFFFAOYSA-N_298K,OFBQJSOFQDEBGM-UHFFFAOYSA-N_298K,LRHPLDYGYMQRHN-UHFFFAOYSA-N_298K,URLKBWYHVLBVBO-UHFFFAOYSA-N_298K,RAHZWNYVWXNFOC-UHFFFAOYSA-N_298K,SWQJXJOGLNCZEY-UHFFFAOYSA-N_298K,GQPLMRYTRLFLPF-UHFFFAOYSA-N_298K,VXNZUUAINFGPBY-UHFFFAOYSA-N_298K,QWTDNUCVQCZILF-UHFFFAOYSA-N_298K
NIST-MATDB-b2dc02871a66ac38e4b195796cf3e00b,0.819171698992534,0.09982792422654221,0.3194056603812207,,24.205547892866445,37.27183054001421,0.0015064812756983173,0.036227610194460094,,,,0.5879415717748973,,3.2189213482519743,,,0.12322912641383663,,,,2.7820761910584317,1.4854428764141012,1.077099064692271,,,,,,,,,,,200.460054054642,22.948322899450403,,,,
NIST-MATDB-035dc75dddd00241bd76627f78cbef2d,110.21556515335344,0.539599813873608,0.8934989187748433,0.11863577130406024,245.5599590610971,229.94482041953597,,,,,,132546.7386309249,,,,,1.4967011978437206,,,,8.07913894290471,5.1281438885058055,1281.6983914769003,,,449.6166418115513,,,,,,,,,,0.0005924665828846056,107.20783765902132,177.5266038486335,
NIST-MATDB-453276ee992ed07dc207ed08b2b221ce,2.307320975166026,0.32760585472644377,0.506283713469287,0.20658073629274012,,,,0.05726129474363019,11.828043395051727,2.611846683167779,,21.564247964117385,1103.390933570668,854.550084361815,,,0.46149752164870134,,,1.194876754689659,4.063815059205973,25.54511843295715,1.4738670165225944,,1042.2074841364413,,,,,,10.015652189201411,,,,,,,,
NIST-MATDB-1b85b1862d4e9cc2e0f46d0e2698ab79,1.5788939684509717,0.22536303129463026,0.7449801127609723,0.18296225417897713,,,,,,,,,,,,,0.3051216140432336,,,,,,352.1635251198298,,,,,,,,,,,5929.945012643009,,,,,
NIST-MATDB-991daf7313251e7e607e2bab2da57e33,5.2487943625519815,0.31286334292115403,0.889734694704292,0.33044257431003643,622.8964517902384,156.70904609711548,53.40867603905034,0.046230074761256575,5.584649644476632,,13.257866283231653,3538.2153924050185,4723.561577086609,2877.019571218638,6200.354596472378,,0.9873556886129147,,519.4376059443244,0.29558634104207837,0.012021048389096033,40.686059537234954,1552.2697065479433,,5011.438233481606,0.9299960614581717,1355.2137787757556,,,,,19931.415894350503,,,50.78095557857099,,,,
NIST-MATDB-acbbe796d49416e999dc819f2ae65fe9,5.390284031787629,,1.5311220985371499,,,,30.243899589076904,0.08057026249707669,2.6889563711031217,1.1966202307983898,,,,,,,,,,,,,,,,,,,,,,,,,258.6248889813385,,,,
NIST-MATDB-2c9380bddc59f547484ff729eab7d7cb,1.659813446575566,0.21742875798767497,0.4344134883038151,,,,1.1566750202941738,0.03838044998688102,0.9150692805387968,0.49799840944095003,0.17543539270064462,0.7675188138853847,,,,,0.2354742105014107,,54.52933772992046,0.19442222005614504,6.5558477616342765,,93.59912643978684,0.6159004529816111,,,,,,,,,,,0.735938586688973,,2.053200202538044,,
NIST-MATDB-8599871cd17b08ae7919e1260a35e914,6.0794389192367895,1.3118749774813177,2.6574521627402756,,,,,0.45236007695464514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIST-MATDB-7c81afbf8f12d8eea290644848d46385,6.017632363951254,1.0743829094774415,1.4405512337555493,,,,,0.21593500823117429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIST-MATDB-99ef80e5d83870b3d92d1e7cc0055c90,5.484006482546595,1.0691958735074862,2.2093357945932,,,,,0.5163631313742837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIST-MATDB-2505eaefa7cfdd83ff021d29f553b474,3.649649484008729,0.6953346888892235,1.1849533243605639,,,,,0.2398773339877214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIST-MATDB-99b2d1b315d9bd0b70972c5b0da4b675,,0.24761902157032267,,,,,,,18.28652819072887,2.0010218769592485,,,,543.6503428598907,,,,,,,,,,,,,,,,,,,,,,,,,
NIST-MATDB-5ab0dbe0639729711750ef4b97715f0f,2.7356955957783673,0.2107005288916597,0.5949884697989125,0.1414365505538564,,,,0.02397284335182187,,,,1860.0965110836657,33.32796078347141,,,,0.24834721906521795,,23.035261871116926,,,,,,,,,,,,,,,,,,,,
NIST-MATDB-9ee35322ac5ddba224d845a03c651b29,311.92701683966646,,1.072149945030522,,,,,0.02900074648985205,,,,89503.52867043231,,,130161.79483956956,,,,,,,,,,,,,,,,,,,,,,,,
NIST-MATDB-0d52b4312e8dd98a53fcfaba14cd0e82,,,,,5853.988725527003,303.2704885399304,,0.055946587964198956,,,,33.32343438519818,,,,,,,,,,,,,,231.68551238429802,,,,,,,,,,,,51.82733076750251,
NIST-MATDB-1e130146cc6d11f05471f1e054d640c8,110.59192726180345,,0.2675910087367928,,,374.2696727100019,,0.6497723821129796,,,,,,,,38.646524449805554,,,,,21.57827838483206,286.6289666468104,,,,,,,,,,,,,,,,,
NIST-MATDB-b848f05ba9fb26cdd50755863b377c56,3.644741033652947,0.522101862649372,1.1470690195162472,,,,,,,,,1.6209987043347607,,,,,0.27683782572273474,,,,,,,,,,,,,,,,,,60.7777211289658,,,,
NIST-MATDB-47dadc99a0da13b9e9bb3032468ecbdf,0.46023385464257777,,0.31908820811640815,,,,,0.012055231812937876,,,,9.086988527200688,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIST-MATDB-7cb7f2ebc677a987561f61f34f01f965,1.3283639898515884,0.16093559681319217,0.08498408699930678,0.19281215267443103,,0.07780574583704415,,,,,,,,120.74105535303627,439.98548247771083,,,,,0.1766639036371133,0.015058146856283006,,,,,0.1397657730592009,,,,,9.733190159951695,,,,,,,,
NIST-MATDB-bbd809480ca8c8d0e4d066e70a9719d1,1.6172335253857275,0.1914808516441739,0.4300719840260059,0.17796337110410537,,,,0.07183688086885498,,,0.35726477477424445,35411.262620337475,,,,,0.3136857839151428,,,,,,201.23344593334008,1.4152257617058894,,,,,,,,,,,1.7565865275176602,,0.055049527331515885,,
NIST-MATDB-c72a7787d6aa9690e6f0e608535eba56,1.3744457351161337,0.17481428321157574,0.5247825910845074,,,,,,,,,,,,,,,,,,,,278.1784953599068,,,,,,,,,,,,,,,,
NIST-MATDB-b2cbe7a27aa1570f2ff2c04b82289f25,3.8417503473325754,0.3787954834574039,1.0264398876780587,,,85.70029605640255,,0.05243669015107285,,,,,3867.5880383091276,,2913.820022093322,,,,22166.480041438695,,10.035832396615843,,,,,,,,,77988.35356768152,,3644.3893530624955,,,,0.001317534488231148,,,
NIST-MATDB-9ab18a5aa1db0a6827d18e1707055261,46.23231182559567,,,,,,,,10.867245282566646,1.3252885547554278,,40772.68854563901,,,,,,,,,,,,,,,,,,,,,,,,,,,
