,CURLTUGMZLYLDI-UHFFFAOYSA-N_298K,IJGRMHOSHXDMSA-UHFFFAOYSA-N_298K,VNWKTOKETHGBQD-UHFFFAOYSA-N_298K,MYMOFIZGZYHOMD-UHFFFAOYSA-N_298K,QQONPFPTGQHPMA-UHFFFAOYSA-N_298K,ATUOYWHBWRKTHZ-UHFFFAOYSA-N_298K,HSFWRNGVRCDJHI-UHFFFAOYSA-N_298K,UFHFLCQGNIYNRP-UHFFFAOYSA-N_298K,OTMSDBZUPAUEDD-UHFFFAOYSA-N_298K,VGGSQFUCUMXWEO-UHFFFAOYSA-N_298K,XLYOFNOQVPJJNP-UHFFFAOYSA-N_298K,VLKZOEOYAKHREP-UHFFFAOYSA-N_298K,OKKJLVBELUTLKV-UHFFFAOYSA-N_298K,LFQSCWFLJHTTHZ-UHFFFAOYSA-N_298K,UGFAIRIUMAVXCW-UHFFFAOYSA-N_298K,UHOVQNZJYSORNB-UHFFFAOYSA-N_298K,XKRFYHLGVUSROY-UHFFFAOYSA-N_298K,QGZKDVFQNNGYKY-UHFFFAOYSA-N_298K,IJDNQMDRQITEOD-UHFFFAOYSA-N_298K,OFBQJSOFQDEBGM-UHFFFAOYSA-N_298K
NIST-MATDB-b2dc02871a66ac38e4b195796cf3e00b,0.7637948164850161,0.1449041184024509,0.31940563272117994,,24.205552528254362,39.94943333825374,0.0015064810518102586,0.03622760147156922,2.35581212896323,1.524489333520541,0.6283071403470153,,3.218940085638354,,0.12322912723284343,,,1.0770907795013434,,
NIST-MATDB-035dc75dddd00241bd76627f78cbef2d,89.66731353133451,0.5395998031301603,0.8934989870552532,0.11863577085367825,245.56009593976015,229.94318079106577,,,8.079139083457873,5.1281414972998425,132545.9868881572,,,,1.4967011294828862,,,1113.6985631393873,449.6186777220157,
NIST-MATDB-453276ee992ed07dc207ed08b2b221ce,2.3073212741442752,0.32760586616724163,0.5062787745787094,0.20658077073160275,,,,0.057261297256705077,4.0638164265654995,25.545439829832212,21.564878022514606,1103.3868183065208,854.5499131715262,,0.4614977424967996,,1.1948767362319261,1.47386700890088,,
NIST-MATDB-991daf7313251e7e607e2bab2da57e33,5.173708294005175,0.31980652004513066,0.8905104261043175,0.33044257262207966,672.7453391041025,152.87732502125218,53.408752059684325,0.050018603393170616,0.838235724820496,53.21875919301765,3538.2262859739308,4723.570601468684,2877.014621498403,6200.118107179734,0.9873556132471782,519.4378269683439,0.29020466811630663,1552.271583819951,2.9391280970285476,20578.763160329145
NIST-MATDB-2c9380bddc59f547484ff729eab7d7cb,1.659815252478762,0.2174287590333894,0.4344132905035521,,,,1.2865644964245344,0.03900651003533645,6.5558450261518315,,0.7675188373979722,,,,0.23547421029199658,54.5300386956827,0.19442222052044297,93.59912913731313,,
NIST-MATDB-5ab0dbe0639729711750ef4b97715f0f,2.5431421578701707,0.2107730055175328,0.5949884365042815,0.14143655076969017,,39.18301631476348,,0.023972841369237018,0.8676595902748835,,1691.4223436575596,33.328599988335625,,,0.2483472224132383,23.03536461730304,,,,
NIST-MATDB-7cb7f2ebc677a987561f61f34f01f965,1.3283671707967204,0.16093565183621764,0.08498378704539299,0.19281215281583708,,0.07780571059095068,,,0.01505827900527191,,,,120.74160788176933,439.9844480735724,,,0.1766639033805089,,0.13976733786922993,
NIST-MATDB-bbd809480ca8c8d0e4d066e70a9719d1,1.5990323537336477,0.19148085475719717,0.43007198334245844,0.17796337220937153,,,,0.07183688207338175,,,35411.20932430084,,,,0.31368578294891536,,,201.23615786785737,,
NIST-MATDB-b2cbe7a27aa1570f2ff2c04b82289f25,4.225305862591053,0.35025082770174076,1.0222909949686674,,,85.70035062255474,,0.05243668916769609,10.035858760520522,,,3867.5883146791034,,2913.819312403767,,22166.479378936303,,,,3644.3741765963664
NIST-MATDB-aab7f4d547e6752b772d6f12520fde3b,1.797914625725572,0.17584206358262214,1.2248348040994146,,139.00516578846555,200.81769522533222,,,26.889889084951534,,1564.066198538487,,,,,,,,1361.477161895096,9570.929555354283
