,CURLTUGMZLYLDI-UHFFFAOYSA-N_298K,IJGRMHOSHXDMSA-UHFFFAOYSA-N_298K,VNWKTOKETHGBQD-UHFFFAOYSA-N_298K,MYMOFIZGZYHOMD-UHFFFAOYSA-N_298K,QQONPFPTGQHPMA-UHFFFAOYSA-N_298K,ATUOYWHBWRKTHZ-UHFFFAOYSA-N_298K,HSFWRNGVRCDJHI-UHFFFAOYSA-N_298K,UFHFLCQGNIYNRP-UHFFFAOYSA-N_298K,FHNFHKCVQCLJFQ-UHFFFAOYSA-N_298K,DNNSSWSSYDEUBZ-UHFFFAOYSA-N_298K,MWUXSHHQAYIFBG-UHFFFAOYSA-N_298K,XLYOFNOQVPJJNP-UHFFFAOYSA-N_298K,VLKZOEOYAKHREP-UHFFFAOYSA-N_298K,OKKJLVBELUTLKV-UHFFFAOYSA-N_298K,LFQSCWFLJHTTHZ-UHFFFAOYSA-N_298K,UGFAIRIUMAVXCW-UHFFFAOYSA-N_298K,XDTMQSROBMDMFD-UHFFFAOYSA-N_298K,UHOVQNZJYSORNB-UHFFFAOYSA-N_298K,XKRFYHLGVUSROY-UHFFFAOYSA-N_298K,OTMSDBZUPAUEDD-UHFFFAOYSA-N_298K,VGGSQFUCUMXWEO-UHFFFAOYSA-N_298K,QGZKDVFQNNGYKY-UHFFFAOYSA-N_298K,CSCPPACGZOOCGX-UHFFFAOYSA-N_298K,IJDNQMDRQITEOD-UHFFFAOYSA-N_298K,NNPPMTNAJDCUHE-UHFFFAOYSA-N_298K,KFZMGEQAYNKOFK-UHFFFAOYSA-N_298K,BDERNNFJNOPAEC-UHFFFAOYSA-N_298K,YXFVVABEGXRONW-UHFFFAOYSA-N_298K,OFBQJSOFQDEBGM-UHFFFAOYSA-N_298K,RAHZWNYVWXNFOC-UHFFFAOYSA-N_298K,SWQJXJOGLNCZEY-UHFFFAOYSA-N_298K
NIST-MATDB-b2dc02871a66ac38e4b195796cf3e00b,0.4768510956194629,0.08258750018213129,0.13504159900316373,,5.709485372296679,5.5073490299852565,0.0015064637697365575,0.033633770781117574,,,,9.699680477498699,,0.9717633024668085,,0.11997002715617533,,,,2.2451867062620243,1.3701766553718908,,,,,,,,,2.896695753180948,
NIST-MATDB-035dc75dddd00241bd76627f78cbef2d,4.294633668691401,0.2314551441615248,0.346814410246588,0.09313317658147433,1.03089407315089,1.0072046156995431,,,,,,889.3607521962124,,,,0.2803443685799517,,,,0.0397689026207013,0.43011265781748137,10.453123287855966,,1.4768323624309194,,,,,,,0.0004763583932500845
NIST-MATDB-453276ee992ed07dc207ed08b2b221ce,0.3661310080607783,0.14135725532959686,0.09013346304992398,0.16372273246994493,,,,0.030060910081231226,4.538782294985864,,,0.38349625729188047,0.10773717760478355,162.70208903315537,,0.06290450519906043,,,,1.9775027410229593,3.9951253609215884,,0.14943902980227738,,,,,,,,
NIST-MATDB-1b85b1862d4e9cc2e0f46d0e2698ab79,0.4507859626766725,0.14538892581352547,0.14911700371104875,0.1601470137180499,,,,,,,,,,,,0.1825315285105837,,,,,,,,,,,,,,,
NIST-MATDB-991daf7313251e7e607e2bab2da57e33,1.2210159680167836,0.16917184485336875,0.2629315258564633,0.18138629652903887,17.421037949710254,0.022050051276357088,10.919829507521522,0.027464706880528073,3.7727558432586723,,4.918806097321901,1034.079110738332,38.1450207290828,160.5538942254527,116.57640938174589,0.2566367114917507,,0.07359463559429753,0.10759512223188532,0.012021000541007716,3.5154201555126354,13.314807096561232,,0.8748315338290645,100.66310568527567,,,,,3.552106222538019,
NIST-MATDB-acbbe796d49416e999dc819f2ae65fe9,0.4719877864705774,,1.1508095298535779,,,,8.222761502493102,0.0783938133808888,0.7587586988703291,0.3551972020341616,,,,,,,,,,,,,,,,,,,,1.9967206412224139,
NIST-MATDB-2c9380bddc59f547484ff729eab7d7cb,0.7490139638793994,0.16068940304455226,0.2735498147340415,,,0.9080614188720958,1.1566739465803118,0.029343489739218662,0.4306953895336403,0.31938875057268185,0.171597735029446,1.480580139122909,,,,0.03926148162935986,,1.1004252954466789,0.15693807010228528,1.223565913649467,,,,,,,,,,2.652721656989867,
NIST-MATDB-5ab0dbe0639729711750ef4b97715f0f,0.6090393676408687,0.15716069719978443,0.3749437738985365,0.11861340960666275,,,,0.017380960469648134,,,,999.1623841381623,0.24784969396894724,,,0.23409344845622454,,0.2997328628805231,,,,,,,,,,,,,
NIST-MATDB-9ee35322ac5ddba224d845a03c651b29,5.849374652559026,,0.6202614301701476,,,,,0.027665954002310245,,,,709.2471435424758,,,138.87871709883896,,,,,,,,,,,,,,,,
NIST-MATDB-1e130146cc6d11f05471f1e054d640c8,3.559951459320909,,0.08343946833329823,,,4.502375619646045,,0.08361662677562588,,1.3532286503351826e-09,,,,,,,,,,,5.774877585096096,,,,,,,,,,
