isotherm_filename,units
10.8888s10450-012-9407-1.Isotherm14,mmol/g
10.8888s10450-012-9407-1.Isotherm13,mmol/g
10.8888s10450-012-9407-1.Isotherm11,mmol/g
10.8888s10450-012-9407-1.Isotherm1,mmol/g
10.8888s0167-2991(08)63564-8.Isotherm7,mmol/g
10.8888s0167-2991(08)63564-8.Isotherm5,mmol/g
10.8888s0167-2991(08)63564-8.Isotherm2,mmol/g
10.8888s0167-2991(08)63564-8.Isotherm1,mmol/g
10.8888jp206959k.Isotherm19,mmol/g
10.8888jp206959k.Isotherm18,mmol/g
10.8888jp206959k.Isotherm17,mmol/g
10.8888jp206959k.Isotherm10,mmol/g
10.8888Je8006919.Isotherm2,mmol/g
10.8888Je8006919.Isotherm13,mmol/g
10.8888Je8006919.Isotherm11,mmol/g
10.8888Je8006919.Isotherm10,mmol/g
10.8888Je8006919.Isotherm1,mmol/g
10.8888Ja909263x.Isotherm3,mmol/g
10.8888Ja909263x.Isotherm2,mmol/g
10.8888j.cej.2011.01.096.isotherm4c,mmol/g
10.8888j.cej.2011.01.096.isotherm4b,mmol/g
10.8888j.cej.2011.01.096.isotherm4a,mmol/g
10.8888Ie200652e.isotherm4,mmol/g
10.8888Ie200652e.isotherm2,mmol/g
10.8888Ie200652e.isotherm14,mmol/g
10.8888Ie200652e.isotherm13,mmol/g
10.8888Ie200652e.isotherm10,mmol/g
10.888801496395.2010.513360.Isotherm1,mmol/g
10.88880009-2509(83)80087-6.Isotherm6,mmol/g
10.88880009-2509(83)80087-6.Isotherm5,mmol/g
10.88880009-2509(83)80087-6.Isotherm4,mmol/g
10.88880009-2509(83)80087-6.Isotherm3,mmol/g
10.6023A15010079.Isotherm2,cm3(STP)/g
10.6023A15010079.Isotherm1,cm3(STP)/g
10.6023A13070702.isotherm2,cm3(STP)/g
10.6023A13070702.isotherm1,cm3(STP)/g
10.5012bkcs.2014.35.2.377.isotherm9,cm3(STP)/g
10.5012bkcs.2014.35.2.377.isotherm8,cm3(STP)/g
10.5012bkcs.2014.35.2.377.isotherm7,cm3(STP)/g
10.5012bkcs.2014.35.2.377.isotherm6,cm3(STP)/g
10.5012bkcs.2014.35.2.377.isotherm5,cm3(STP)/g
10.5012bkcs.2014.35.2.377.isotherm4,mg/g
10.5012bkcs.2014.35.2.377.isotherm3,mg/g
10.5012bkcs.2014.35.2.377.isotherm2,cm3(STP)/g
10.5012bkcs.2014.35.2.377.isotherm10,cm3(STP)/g
10.5012bkcs.2014.35.2.377.isotherm1,cm3(STP)/g
10.5012bkcs.2014.35.1.283.isotherm6,mg/g
10.5012bkcs.2014.35.1.283.isotherm5,mg/g
10.5012bkcs.2014.35.1.283.isotherm4,mg/g
10.5012bkcs.2014.35.1.283.isotherm3,mg/g
10.5012bkcs.2014.35.1.283.isotherm2,mg/g
10.5012bkcs.2014.35.1.283.isotherm1,mg/g
10.5012bkcs.2011.32.8.2705.isotherm9,cm3(STP)/g
10.5012bkcs.2011.32.8.2705.isotherm8,cm3(STP)/g
10.5012bkcs.2011.32.8.2705.isotherm7,cm3(STP)/g
10.5012bkcs.2011.32.8.2705.isotherm6,cm3(STP)/g
10.5012bkcs.2011.32.8.2705.isotherm5,cm3(STP)/g
10.5012bkcs.2011.32.8.2705.isotherm4,cm3(STP)/g
10.5012bkcs.2011.32.8.2705.isotherm35,cm3(STP)/g
10.5012bkcs.2011.32.8.2705.isotherm34,cm3(STP)/g
10.5012bkcs.2011.32.8.2705.isotherm33,cm3(STP)/g
10.5012bkcs.2011.32.8.2705.isotherm32,cm3(STP)/g
10.5012bkcs.2011.32.8.2705.isotherm31,cm3(STP)/g
10.5012bkcs.2011.32.8.2705.isotherm30,cm3(STP)/g
10.5012bkcs.2011.32.8.2705.isotherm3,cm3(STP)/g
10.5012bkcs.2011.32.8.2705.isotherm29,cm3(STP)/g
10.5012bkcs.2011.32.8.2705.isotherm28,cm3(STP)/g
10.5012bkcs.2011.32.8.2705.isotherm27,cm3(STP)/g
10.5012bkcs.2011.32.8.2705.isotherm26,cm3(STP)/g
10.5012bkcs.2011.32.8.2705.isotherm25,cm3(STP)/g
10.5012bkcs.2011.32.8.2705.isotherm24,cm3(STP)/g
10.5012bkcs.2011.32.8.2705.isotherm23,cm3(STP)/g
10.5012bkcs.2011.32.8.2705.isotherm22,cm3(STP)/g
10.5012bkcs.2011.32.8.2705.isotherm21,cm3(STP)/g
10.5012bkcs.2011.32.8.2705.isotherm20,cm3(STP)/g
10.5012bkcs.2011.32.8.2705.isotherm2,cm3(STP)/g
10.5012bkcs.2011.32.8.2705.isotherm19,cm3(STP)/g
10.5012bkcs.2011.32.8.2705.isotherm18,cm3(STP)/g
10.5012bkcs.2011.32.8.2705.isotherm17,cm3(STP)/g
10.5012bkcs.2011.32.8.2705.isotherm16,cm3(STP)/g
10.5012bkcs.2011.32.8.2705.isotherm15,cm3(STP)/g
10.5012bkcs.2011.32.8.2705.isotherm14,cm3(STP)/g
10.5012bkcs.2011.32.8.2705.isotherm13,cm3(STP)/g
10.5012bkcs.2011.32.8.2705.isotherm12,cm3(STP)/g
10.5012bkcs.2011.32.8.2705.isotherm11,cm3(STP)/g
10.5012bkcs.2011.32.8.2705.isotherm10,cm3(STP)/g
10.5012bkcs.2011.32.8.2705.isotherm1,cm3(STP)/g
10.5012bkcs.2010.31.6.1489.Isotherm5,ml/g
10.5012bkcs.2010.31.6.1489.Isotherm4,ml/g
10.5012bkcs.2010.31.6.1489.Isotherm3,ml/g
10.5012bkcs.2010.31.6.1489.Isotherm2,ml/g
10.5012bkcs.2010.31.6.1489.Isotherm1,ml/g
10.5012bkcs.2010.31.01.220.Isotherm9,mmol/g
10.5012bkcs.2010.31.01.220.Isotherm8,mmol/g
10.5012bkcs.2010.31.01.220.Isotherm7,mmol/g
10.5012bkcs.2010.31.01.220.Isotherm6,mmol/g
10.5012bkcs.2010.31.01.220.Isotherm5,mmol/g
10.5012bkcs.2010.31.01.220.Isotherm4,mmol/g
10.5012bkcs.2010.31.01.220.Isotherm3,mmol/g
10.5012bkcs.2010.31.01.220.Isotherm2,mmol/g
10.5012bkcs.2010.31.01.220.Isotherm10,mmol/g
10.5012bkcs.2010.31.01.220.Isotherm1,mmol/g
10.5012bkcs.2009.30.12.2921.isotherm3,cm3(STP)/g
10.5012bkcs.2009.30.12.2921.isotherm2,cm3(STP)/g
10.5012bkcs.2009.30.12.2921.isotherm1,cm3(STP)/g
10.4209aaqr.2013.11.0337.Isotherm1,cm3(STP)/g
10.4209aaqr.2012.11.0301.isotherm9,cm3(STP)/g
10.4209aaqr.2012.11.0301.isotherm8,cm3(STP)/g
10.4209aaqr.2012.11.0301.isotherm7,cm3(STP)/g
10.4209aaqr.2012.11.0301.isotherm6,cm3(STP)/g
10.4209aaqr.2012.11.0301.isotherm5,cm3(STP)/g
10.4209aaqr.2012.11.0301.isotherm4,cm3(STP)/g
10.4209aaqr.2012.11.0301.isotherm3,cm3(STP)/g
10.4209aaqr.2012.11.0301.isotherm2,cm3(STP)/g
10.4209aaqr.2012.11.0301.isotherm14,cm3(STP)/g
10.4209aaqr.2012.11.0301.isotherm13,cm3(STP)/g
10.4209aaqr.2012.11.0301.isotherm12,cm3(STP)/g
10.4209aaqr.2012.11.0301.isotherm11,cm3(STP)/g
10.4209aaqr.2012.11.0301.isotherm10,cm3(STP)/g
10.4209aaqr.2012.11.0301.isotherm1,cm3(STP)/g
10.4028www.scientific.netAMM.625.870.Isotherm3,mol/g
10.4028www.scientific.netAMM.625.870.Isotherm2,mol/g
10.4028www.scientific.netAMM.625.870.Isotherm1,mol/g
10.3969j.issn.1001-4861.2013.00.200.isotherm9,cm3(STP)/g
10.3969j.issn.1001-4861.2013.00.200.isotherm8,cm3(STP)/g
10.3969j.issn.1001-4861.2013.00.200.isotherm7,cm3(STP)/g
10.3969j.issn.1001-4861.2013.00.200.isotherm6,cm3(STP)/g
10.3969j.issn.1001-4861.2013.00.200.isotherm5,cm3(STP)/g
10.3969j.issn.1001-4861.2013.00.200.isotherm4,cm3(STP)/g
10.3969j.issn.1001-4861.2013.00.200.isotherm3,cm3(STP)/g
10.3969j.issn.1001-4861.2013.00.200.isotherm2,cm3(STP)/g
10.3969j.issn.1001-4861.2013.00.200.isotherm11,cm3(STP)/g
