,gas,material,henry_constant,filename,ok
961,UGFAIRIUMAVXCW-UHFFFAOYSA-N,NIST-MATDB-991daf7313251e7e607e2bab2da57e33,64018565400844.79,10.1016j.micromeso.2012.02.034.Isotherm2,True
1560,VNWKTOKETHGBQD-UHFFFAOYSA-N,NIST-MATDB-bbd809480ca8c8d0e4d066e70a9719d1,3662594690.4304996,10.1016j.fluid.2014.08.020.Isotherm3,True
1190,VNWKTOKETHGBQD-UHFFFAOYSA-N,NIST-MATDB-2c9380bddc59f547484ff729eab7d7cb,2593508419.3873825,10.1016j.fluid.2014.08.020.Isotherm2,True
1191,VNWKTOKETHGBQD-UHFFFAOYSA-N,NIST-MATDB-2c9380bddc59f547484ff729eab7d7cb,2485209296.4265237,10.1016j.fluid.2014.08.020.Isotherm1,True
1847,HSFWRNGVRCDJHI-UHFFFAOYSA-N,NIST-MATDB-297c8ffe0f482757db45335130e02770,337758554.3420652,10.1007s11224-012-0120-1.isotherm35,True
1821,HSFWRNGVRCDJHI-UHFFFAOYSA-N,NIST-MATDB-1733c0f5ae26290495f099f06d0dd880,152736919.95087025,10.1007s11224-012-0120-1.isotherm36,True
1849,HSFWRNGVRCDJHI-UHFFFAOYSA-N,NIST-MATDB-297c8ffe0f482757db45335130e02770,9760917.207792288,10.1007s11224-012-0120-1.isotherm32,True
1822,HSFWRNGVRCDJHI-UHFFFAOYSA-N,NIST-MATDB-1733c0f5ae26290495f099f06d0dd880,9610024.350649446,10.1007s11224-012-0120-1.isotherm34,True
1848,HSFWRNGVRCDJHI-UHFFFAOYSA-N,NIST-MATDB-297c8ffe0f482757db45335130e02770,9362429.511278277,10.1007s11224-012-0120-1.isotherm33,True
1823,HSFWRNGVRCDJHI-UHFFFAOYSA-N,NIST-MATDB-1733c0f5ae26290495f099f06d0dd880,8959582.270408262,10.1007s11224-012-0120-1.isotherm31,True
1657,XLYOFNOQVPJJNP-UHFFFAOYSA-N,NIST-MATDB-121099da5c9e0772a6f7a19e407c83ab,6510716.555296781,10.1021Jp1033273.Isotherm1,True
1559,VNWKTOKETHGBQD-UHFFFAOYSA-N,NIST-MATDB-bbd809480ca8c8d0e4d066e70a9719d1,6428897.909839578,10.1016j.fluid.2014.08.020.Isotherm4,True
1800,XLYOFNOQVPJJNP-UHFFFAOYSA-N,NIST-MATDB-f55cae58cff61d336d8b65bece21175f,5914156.04777937,10.1002Aic.11362.Isotherm1,True
1659,OKKJLVBELUTLKV-UHFFFAOYSA-N,NIST-MATDB-121099da5c9e0772a6f7a19e407c83ab,4965489.845573438,10.1021Jp1033273.Isotherm2,True
1661,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,NIST-MATDB-121099da5c9e0772a6f7a19e407c83ab,4650222.619461593,10.1021Jp1033273.Isotherm3,True
938,XLYOFNOQVPJJNP-UHFFFAOYSA-N,NIST-MATDB-991daf7313251e7e607e2bab2da57e33,4226598.6666697245,10.1002Aic.11362.Isotherm2,True
1654,XLYOFNOQVPJJNP-UHFFFAOYSA-N,NIST-MATDB-121099da5c9e0772a6f7a19e407c83ab,4190418.720346602,10.1021Jp1033273.Isotherm4,True
1660,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,NIST-MATDB-121099da5c9e0772a6f7a19e407c83ab,3994781.7268245323,10.1021Jp1033273.Isotherm7,True
1653,XLYOFNOQVPJJNP-UHFFFAOYSA-N,NIST-MATDB-121099da5c9e0772a6f7a19e407c83ab,2581118.333103167,10.1021Jp1033273.Isotherm6,True
1658,OKKJLVBELUTLKV-UHFFFAOYSA-N,NIST-MATDB-121099da5c9e0772a6f7a19e407c83ab,2403335.0223413073,10.1021Jp1033273.Isotherm5,True
1588,XLYOFNOQVPJJNP-UHFFFAOYSA-N,NIST-MATDB-bbd809480ca8c8d0e4d066e70a9719d1,1592480.524308583,10.1021La702466d.Isotherm3,True
2906,OKKJLVBELUTLKV-UHFFFAOYSA-N,NIST-MATDB-c235e2b9f0e0f3949e37b5ac3054f2ec,1341419.853117735,10.1021Ja060946u.Isotherm9,True
2907,UHOVQNZJYSORNB-UHFFFAOYSA-N,NIST-MATDB-c235e2b9f0e0f3949e37b5ac3054f2ec,735692.4668844073,10.1021Ja060946u.Isotherm10,True
964,UHOVQNZJYSORNB-UHFFFAOYSA-N,NIST-MATDB-991daf7313251e7e607e2bab2da57e33,643100.0000012903,10.1039c5cc02809d.Isotherm6,True
162,CURLTUGMZLYLDI-UHFFFAOYSA-N,NIST-MATDB-035dc75dddd00241bd76627f78cbef2d,568884.0367200011,10.1021Je800900a.Isotherm7,True
163,CURLTUGMZLYLDI-UHFFFAOYSA-N,NIST-MATDB-035dc75dddd00241bd76627f78cbef2d,535782.9781733573,10.1021Je800900a.Isotherm29,True
161,CURLTUGMZLYLDI-UHFFFAOYSA-N,NIST-MATDB-035dc75dddd00241bd76627f78cbef2d,456607.20773291663,10.1021Je800900a.Isotherm8,True
224,XLYOFNOQVPJJNP-UHFFFAOYSA-N,NIST-MATDB-035dc75dddd00241bd76627f78cbef2d,338274.9468974559,10.1021Je800900a.Isotherm54,True
2566,XLYOFNOQVPJJNP-UHFFFAOYSA-N,NIST-MATDB-b76bbf3e404395a8b5d1b9ec08bf2d8f,291388.0214108023,10.1021Je800900a.Isotherm64,True
3095,XLYOFNOQVPJJNP-UHFFFAOYSA-N,NIST-MATDB-16d2ea75949f753ebc0daffccae0ed52,273133.0681619903,10.1002anie.201506345.Isotherm6,True
2362,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,NIST-MATDB-554de36b7f2f656529c27910955ec14f,228593.13208077286,10.1039C3cc48275h.Isotherm18,True
2567,XLYOFNOQVPJJNP-UHFFFAOYSA-N,NIST-MATDB-b76bbf3e404395a8b5d1b9ec08bf2d8f,181172.99233545968,10.1021Je800900a.Isotherm63,True
2160,XLYOFNOQVPJJNP-UHFFFAOYSA-N,NIST-MATDB-dd648c6388274576eaa6f506d849b3f9,140992.97010690023,10.1021La302537d.Isotherm40,True
2161,XLYOFNOQVPJJNP-UHFFFAOYSA-N,NIST-MATDB-dd648c6388274576eaa6f506d849b3f9,138614.65361997328,10.1021La302537d.Isotherm39,True
2366,UHOVQNZJYSORNB-UHFFFAOYSA-N,NIST-MATDB-554de36b7f2f656529c27910955ec14f,131738.0612930229,10.1039C3cc48275h.Isotherm21,True
2364,XDTMQSROBMDMFD-UHFFFAOYSA-N,NIST-MATDB-554de36b7f2f656529c27910955ec14f,99193.38974247668,10.1039C3cc48275h.Isotherm23,True
1447,VXNZUUAINFGPBY-UHFFFAOYSA-N,NIST-MATDB-0d52b4312e8dd98a53fcfaba14cd0e82,94119.52165982037,10.1016S1004-9541(07)60095-0.Isotherm9,True
1620,YXFVVABEGXRONW-UHFFFAOYSA-N,NIST-MATDB-b2cbe7a27aa1570f2ff2c04b82289f25,89112.40514837098,10.1021la010232r.Isotherm6,True
2908,YXFVVABEGXRONW-UHFFFAOYSA-N,NIST-MATDB-c235e2b9f0e0f3949e37b5ac3054f2ec,74805.10936479282,10.1021Ja060946u.Isotherm8,True
2602,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,NIST-MATDB-e8a1a82c4fe2ad952d1c107156f780f2,69111.87562907842,10.1016j.micromeso.2012.02.027.isotherm7,True
1614,UHOVQNZJYSORNB-UHFFFAOYSA-N,NIST-MATDB-b2cbe7a27aa1570f2ff2c04b82289f25,68677.51490959093,10.1021la010232r.Isotherm2,True
2074,XLYOFNOQVPJJNP-UHFFFAOYSA-N,NIST-MATDB-f5e80ffaaaf05f4ed655664fd22defb9,60143.57138368897,10.1021Jp503778m.Isotherm7,True
3100,XLYOFNOQVPJJNP-UHFFFAOYSA-N,NIST-MATDB-29da3034f56a3f314e86df224086cae2,56018.541490997275,10.1002anie.201506345.Isotherm5,True
935,XLYOFNOQVPJJNP-UHFFFAOYSA-N,NIST-MATDB-991daf7313251e7e607e2bab2da57e33,54038.822207869365,10.1016j.egypro.2009.01.166.Isotherm6,True
